2026-07-05 02:33:17 | INFO     | src.preprocessing | pipeline_timer:222 | ⏱  START — DataLoader.load
2026-07-05 02:33:17 | INFO     | src.preprocessing | _load_single_file:149 | Reading CSV: D:\Final_year_project\project\data\raw\ionosonde_data.csv
2026-07-05 02:33:17 | INFO     | src.preprocessing | pipeline_timer:232 | ✅ END   — DataLoader.load  (0.033 s)
2026-07-05 02:33:17 | INFO     | src.preprocessing | load:135 | Loaded 8640 rows × 22 cols from: D:\Final_year_project\project\data\raw\ionosonde_data.csv
2026-07-05 02:33:17 | INFO     | src.preprocessing | log_dataframe_summary:265 | [Raw Load] shape=(8640, 22)  total_NaN=0 (0.00%)  memory=2.57 MB
2026-07-05 02:33:17 | INFO     | src.utils | filter_stations:587 | No station filter applied – using all 3 stations.
2026-07-05 02:33:17 | INFO     | src.preprocessing | handle:363 | ✅ No infinite values found.
2026-07-05 02:33:17 | INFO     | src.preprocessing | handle:261 | Missing value handling – NaN count before: 0
2026-07-05 02:33:17 | INFO     | src.preprocessing | pipeline_timer:222 | ⏱  START — MissingValueHandler.handle
2026-07-05 02:33:17 | DEBUG    | src.preprocessing | _apply_grouped:288 | Handling missing values for station: DB049
2026-07-05 02:33:17 | DEBUG    | src.preprocessing | _apply_grouped:288 | Handling missing values for station: EG931
2026-07-05 02:33:17 | DEBUG    | src.preprocessing | _apply_grouped:288 | Handling missing values for station: JR055
2026-07-05 02:33:17 | INFO     | src.preprocessing | pipeline_timer:232 | ✅ END   — MissingValueHandler.handle  (0.025 s)
2026-07-05 02:33:17 | INFO     | src.preprocessing | handle:277 | Missing value handling complete: 0 → 0 NaN values.
2026-07-05 02:33:17 | INFO     | src.preprocessing | pipeline_timer:222 | ⏱  START — OutlierDetector.detect_and_treat
2026-07-05 02:33:17 | DEBUG    | src.preprocessing | _detect_iqr:474 | IQR – 'foF2': 586 outliers (lo=1.230, hi=1.878)
2026-07-05 02:33:17 | DEBUG    | src.preprocessing | _detect_zscore:499 | Z-score – 'foF2': 121 outliers (threshold=3.5)
